Name,Handedness,Height,Weight,Avg,HR,Successful Player,BMI,BMI of Player,Height of Player,Weight of Player
Bill Moran,R,76,210,0,0,0,25.5592,26,75,205
Enzo Hernandez,R,68,155,0.224,2,2.224,23.5651,24,67,150
Cesar Gutierrez,R,69,155,0.235,0,0.235,22.887,23,67,150
Coco Laboy,R,70,165,0.233,28,28.233,23.6724,24,69,158
Ted Kubiak,B,72,175,0.231,13,13.231,23.7317,24,71,174
Jim Morrison,R,71,175,0.26,112,112.26,24.4049,24,69,174
Tom Gilles,R,73,185,0,0,0,24.4051,24,71,182
Bobby Knoop,R,73,170,0.236,56,56.236,22.4263,22,71,166
Bobby Brown,B,74,190,0.245,26,26.245,24.3919,24,73,190
Tom Hutton,L,71,180,0.248,22,22.248,25.1022,25,69,174
Ron Hodges,L,73,185,0.24,19,19.24,24.4051,24,71,182
Rich Chiles,L,71,170,0.254,6,6.254,23.7076,24,69,166
Tom Paciorek,R,76,215,0.282,86,86.282,26.1678,26,75,213
Gary Woods,R,74,185,0.243,13,13.243,23.75,24,73,182
Bob Montgomery,R,73,195,0.258,23,23.258,25.7243,26,71,190
Jeff Burroughs,R,73,200,0.261,240,240.261,26.3839,26,71,198
Rusty Staub,L,74,190,0.279,292,292.279,24.3919,24,73,190
Jim Norris,L,70,175,0.264,7,7.264,25.1071,25,69,174
Oscar Gamble,L,71,160,0.265,200,200.265,22.313,22,69,158
Bob Kammeyer,R,76,210,0,0,0,25.5592,26,75,205
George Vukovich,L,72,198,0.268,27,27.268,26.8507,27,71,198
Joe Pactwa,L,71,185,0,0,0,25.7994,26,69,182
Craig Reynolds,L,73,175,0.256,42,42.256,23.0859,23,71,174
Paul Blair,R,72,168,0.25,134,134.25,22.7824,23,71,166
Al Cowens,R,73,197,0.27,108,108.27,25.9882,26,71,190
Al Oliver,L,72,195,0.303,219,219.303,26.4439,26,71,190
Dave Hilton,R,71,191,0.213,6,6.213,26.6362,27,69,190
Luis Alvarado,R,69,162,0.214,5,5.214,23.9206,24,67,158
Larry Parrish,R,75,190,0.263,256,256.263,23.7458,24,73,190
Woodie Fryman,R,75,197,0.138,2,2.138,24.6206,25,73,190
Bob Randall,R,74,175,0.257,1,1.257,22.4662,22,73,174
Jim Pankovits,R,70,170,0.25,9,9.25,24.3898,24,69,166
Sherman Corbett,L,76,205,0,0,0,24.9507,25,75,198
Carmen Fanzone,R,72,200,0.224,20,20.224,27.1219,27,71,198
Gary Allenson,R,71,185,0.221,19,19.221,25.7994,26,69,182
Milt May,L,72,190,0.263,77,77.263,25.7658,26,71,190
Mike Vail,R,73,180,0.279,34,34.279,23.7455,24,71,174
Nick Esasky,R,75,200,0.25,122,122.25,24.9956,25,73,198
Jim Nettles,L,72,186,0.22,16,16.22,25.2234,25,71,182
Lafayette Currence,B,71,175,0,0,0,24.4049,24,69,174
Chris Cannizzaro,R,72,190,0.235,18,18.235,25.7658,26,71,190
Larry Biittner,L,74,205,0.273,29,29.273,26.3176,26,73,198
John Pawlowski,R,74,175,0,0,0,22.4662,22,73,174
Mel Stottlemyre,R,73,178,0.16,7,7.16,23.4817,23,71,174
Jack Hardy,R,74,175,0,0,0,22.4662,22,73,174
Ron Musselman,R,74,185,0,0,0,23.75,24,73,182
Roy Smalley,B,73,185,0.257,163,163.257,24.4051,24,71,182
Tony Chevez,R,71,177,0,0,0,24.6838,25,69,174
Andy Messersmith,R,73,200,0.17,5,5.17,26.3839,26,71,198
Richie Zisk,R,73,200,0.287,207,207.287,26.3839,26,71,198
Dave Chalk,R,70,175,0.252,15,15.252,25.1071,25,69,174
Don Baylor,R,73,190,0.26,338,338.26,25.0647,25,71,190
John Vukovich,R,73,187,0.161,6,6.161,24.669,25,71,182
Danny Thompson,R,72,183,0.248,15,15.248,24.8166,25,71,182
Joe Simpson,L,75,175,0.242,9,9.242,21.8711,22,73,174
Bill Fahey,L,72,200,0.241,7,7.241,27.1219,27,71,198
Doug Camilli,R,71,195,0.199,18,18.199,27.194,27,69,190
Bernie Allen,L,72,175,0.239,73,73.239,23.7317,24,71,174
Bruce Bochy,R,75,205,0.239,26,26.239,25.6204,26,73,198
Gary Ignasiak,R,71,185,0,0,0,25.7994,26,69,182
Claudell Washington,L,72,190,0.278,164,164.278,25.7658,26,71,190
John Donaldson,L,71,160,0.238,4,4.238,22.313,22,69,158
Mike Smithson,L,80,215,0,0,0,23.6164,24,79,213
John Mayberry,L,75,215,0.253,255,255.253,26.8702,27,73,213
Ken Reitz,R,72,180,0.26,68,68.26,24.4097,24,71,174
Amos Otis,R,71,165,0.277,193,193.277,23.0103,23,69,158
Gene Alley,R,70,160,0.254,55,55.254,22.9551,23,69,158
Ted Sizemore,R,70,165,0.262,23,23.262,23.6724,24,69,158
Dan Briggs,L,72,180,0.195,12,12.195,24.4097,24,71,174
Joe Skalski,R,75,190,0,0,0,23.7458,24,73,190
Doug Flynn,R,71,165,0.238,7,7.238,23.0103,23,69,158
Bert Bradley,B,73,190,0,0,0,25.0647,25,71,190
Ken Holtzman,R,74,175,0.163,2,2.163,22.4662,22,73,174
Pete Ward,L,73,185,0.254,98,98.254,24.4051,24,71,182
Kevin Bell,R,72,195,0.222,13,13.222,26.4439,26,71,190
Tom Nieto,R,73,193,0.205,5,5.205,25.4605,25,71,190
Duke Sims,L,74,197,0.239,100,100.239,25.2905,25,73,190
Larvell Blanks,R,68,167,0.253,20,20.253,25.3895,25,67,166
Francisco Barrios,R,71,155,0,0,0,21.6158,22,69,150
Mike Davis,L,74,175,0.259,91,91.259,22.4662,22,73,174
Jerry Reuss,L,77,200,0.167,1,1.167,23.7139,24,75,198
Steve Yeager,R,72,190,0.228,102,102.228,25.7658,26,71,190
Danny Goodwin,L,73,195,0.236,13,13.236,25.7243,26,71,190
Bud Harrelson,B,71,160,0.236,7,7.236,22.313,22,69,158
Bob Knepper,L,75,195,0.137,6,6.137,24.3707,24,73,190
Mickey Rivers,L,70,165,0.295,61,61.295,23.6724,24,69,158
Jim Northrup,L,75,190,0.267,153,153.267,23.7458,24,73,190
John Hale,L,74,195,0.201,14,14.201,25.0338,25,73,190
Reggie Ritter,L,74,195,0,0,0,25.0338,25,73,190
Pedro Garcia,R,70,175,0.22,37,37.22,25.1071,25,69,174
Carl Yastrzemski,L,71,175,0.285,452,452.285,24.4049,24,69,174
Bob Babcock,R,77,210,0,0,0,24.8996,25,75,205
Craig Eaton,R,71,175,0,0,0,24.4049,24,69,174
Derrel Thomas,B,72,160,0.249,43,43.249,21.6975,22,71,158
Art Howe,R,74,190,0.26,43,43.26,24.3919,24,73,190
Ike Brown,R,72,190,0.256,20,20.256,25.7658,26,71,190
Howie Goss,R,76,204,0.216,11,11.216,24.8289,25,75,198
Glenn Borgmann,R,76,210,0.229,16,16.229,25.5592,26,75,205
Lamar Johnson,R,74,215,0.287,64,64.287,27.6014,28,73,213
Julio Gonzalez,R,71,162,0.235,4,4.235,22.5919,23,69,158
Bobby Klaus,R,70,170,0.208,6,6.208,24.3898,24,69,166
Manny Sanguillen,R,72,193,0.296,65,65.296,26.1726,26,71,190
Gates Brown,L,71,220,0.257,84,84.257,30.6804,31,69,213
Johnny Ray,B,71,170,0.29,53,53.29,23.7076,24,69,166
Jesus Alou,R,74,190,0.28,32,32.28,24.3919,24,73,190
Ken Landreaux,L,70,165,0.268,91,91.268,23.6724,24,69,158
Enos Cabell,R,76,170,0.277,60,60.277,20.6908,21,75,166
Roy Branch,R,72,175,0,0,0,23.7317,24,71,174
Billy North,B,71,185,0.261,20,20.261,25.7994,26,69,182
Juan Beniquez,R,71,150,0.274,79,79.274,20.9185,21,69,142
Frank Fernandez,R,72,185,0.199,39,39.199,25.0878,25,71,182
Bombo Rivera,R,70,187,0.265,10,10.265,26.8288,27,69,182
Steve Brye,R,72,190,0.258,30,30.258,25.7658,26,71,190
Ron Jackson,R,72,200,0.259,56,56.259,27.1219,27,71,198
Roger Metzger,B,72,165,0.231,5,5.231,22.3756,22,71,158
Rufino Linares,R,72,170,0.27,11,11.27,23.0536,23,71,166
Ray Webster,L,72,185,0.244,17,17.244,25.0878,25,71,182
Bob Kearney,R,72,190,0.233,27,27.233,25.7658,26,71,190
Fergie Jenkins,R,77,205,0.165,13,13.165,24.3068,24,75,198
Dick Dietz,R,73,195,0.261,66,66.261,25.7243,26,71,190
Ted Cox,R,75,195,0.245,10,10.245,24.3707,24,73,190
Bobby Mitchell,L,70,170,0.243,3,3.243,24.3898,24,69,166
Bobby Mitchell,R,75,185,0.235,21,21.235,23.1209,23,73,182
Barry Evans,R,73,180,0.251,2,2.251,23.7455,24,71,174
Mickey Brantley,R,70,180,0.259,32,32.259,25.8245,26,69,174
Al Gallagher,R,72,180,0.263,11,11.263,24.4097,24,71,174
Rob Woodward,R,75,185,0,0,0,23.1209,23,73,182
Hector Cruz,R,71,170,0.225,39,39.225,23.7076,24,69,166
Fred Norman,B,68,155,0.125,0,0.125,23.5651,24,67,150
Woody Woodward,R,74,180,0.236,1,1.236,23.1081,23,73,174
Ted Martinez,R,72,165,0.24,7,7.24,22.3756,22,71,158
Jim Anderson,R,72,170,0.218,13,13.218,23.0536,23,71,166
Lenn Sakata,R,69,160,0.23,25,25.23,23.6253,24,67,158
Dave Duncan,R,74,190,0.214,109,109.214,24.3919,24,73,190
Randy Jones,R,72,178,0.132,0,0.132,24.1385,24,71,174
Dick Billings,R,73,195,0.227,16,16.227,25.7243,26,71,190
Bob Veselic,R,72,175,0,0,0,23.7317,24,71,174
Bruce Bochte,L,75,195,0.282,100,100.282,24.3707,24,73,190
Bernie Carbo,L,71,173,0.264,96,96.264,24.126,24,69,166
Vic Davalillo,L,67,150,0.279,36,36.279,23.4908,23,65,142
Burt Hooton,R,73,210,0.123,4,4.123,27.7031,28,71,205
Chuck Hockenbery,B,73,195,0,0,0,25.7243,26,71,190
Bob Ferris,R,78,225,0,0,0,25.9985,26,77,221
Fernando Gonzalez,R,70,165,0.235,17,17.235,23.6724,24,69,158
Jim Sundberg,R,72,190,0.248,95,95.248,25.7658,26,71,190
Andy Kosco,R,75,205,0.236,73,73.236,25.6204,26,73,198
Steve Huntz,B,73,204,0.206,16,16.206,26.9116,27,71,198
Gary Wheelock,R,75,205,0,0,0,25.6204,26,73,198
Lenny Faedo,R,72,170,0.251,5,5.251,23.0536,23,71,166
John Lowenstein,L,72,175,0.253,116,116.253,23.7317,24,71,174
Don Kessinger,B,73,170,0.252,14,14.252,22.4263,22,71,166
Joe Hague,L,72,195,0.239,40,40.239,26.4439,26,71,190
Bake McBride,L,74,190,0.299,63,63.299,24.3919,24,73,190
Dick Davis,R,75,190,0.265,27,27.265,23.7458,24,73,190
Richie Scheinblum,B,73,180,0.263,13,13.263,23.7455,24,71,174
Ed Herrmann,L,73,195,0.24,80,80.24,25.7243,26,71,190
Mike Rochford,L,76,205,0,0,0,24.9507,25,75,198
Jeff Schneider,B,75,195,0,0,0,24.3707,24,73,190
Bob Molinaro,L,72,190,0.264,14,14.264,25.7658,26,71,190
Mike Hegan,L,73,188,0.242,53,53.242,24.8009,25,71,182
Mike Diaz,R,74,195,0.247,31,31.247,25.0338,25,73,190
Tim Foli,R,72,179,0.251,25,25.251,24.2741,24,71,174
Alan Knicely,R,72,190,0.213,12,12.213,25.7658,26,71,190
Tim Laudner,R,75,212,0.225,77,77.225,26.4953,26,73,205
Jose Morales,R,71,187,0.287,26,26.287,26.0784,26,69,182
Luis Encarnacion,R,70,178,0,0,0,25.5376,26,69,174
Rick Kreuger,R,74,185,0,0,0,23.75,24,73,182
Juan Marichal,R,72,185,0.165,4,4.165,25.0878,25,71,182
Vida Blue,B,72,189,0.104,4,4.104,25.6302,26,71,182
Angel Moreno,L,69,165,0,0,0,24.3636,24,67,158
Roger Weaver,R,75,190,0,0,0,23.7458,24,73,190
Stan Papi,R,72,170,0.218,7,7.218,23.0536,23,71,166
Rob Wilfong,L,73,180,0.248,39,39.248,23.7455,24,71,174
Chris Knapp,R,77,195,0,0,0,23.1211,23,75,190
Steve Henderson,R,74,190,0.28,68,68.28,24.3919,24,73,190
Rob Picciolo,R,74,185,0.234,17,17.234,23.75,24,73,182
Don Welchel,R,76,205,0,0,0,24.9507,25,75,198
Randy Wiles,L,73,185,0,0,0,24.4051,24,71,182
Roberto Pena,R,68,170,0.245,13,13.245,25.8456,26,67,166
Bob Dernier,R,72,160,0.255,23,23.255,21.6975,22,71,158
Bill Melton,R,74,200,0.253,160,160.253,25.6757,26,73,198
Albert Hall,B,71,155,0.251,5,5.251,21.6158,22,69,150
Barbaro Garbey,R,70,170,0.267,11,11.267,24.3898,24,69,166
John Milner,L,72,185,0.249,131,131.249,25.0878,25,71,182
Rich Reese,L,75,185,0.253,52,52.253,23.1209,23,73,182
Chris Bando,B,72,195,0.227,27,27.227,26.4439,26,71,190
Bill Buckner,L,72,185,0.289,174,174.289,25.0878,25,71,182
Jack Hiatt,R,74,190,0.251,22,22.251,24.3919,24,73,190
Nelson Mathews,R,76,195,0.223,22,22.223,23.7336,24,75,190
Larry Lintz,B,69,150,0.227,0,0.227,22.1487,22,67,142
Ron Theobald,R,68,165,0.248,2,2.248,25.0854,25,67,158
Dewey Robinson,R,72,180,0,0,0,24.4097,24,71,174
Rafael Santana,R,73,165,0.246,13,13.246,21.7667,22,71,158
Jerry Hairston,B,70,170,0.258,30,30.258,24.3898,24,69,166
Tony Arnold,R,71,170,0,0,0,23.7076,24,69,166
Jeff Schattinger,L,77,200,0,0,0,23.7139,24,75,198
Ike Brookens,R,77,170,0,0,0,20.1569,20,75,166
Tommie Aaron,R,75,190,0.229,13,13.229,23.7458,24,73,190
Steve Dillard,R,73,180,0.243,13,13.243,23.7455,24,71,174
Win Remmerswaal,R,74,160,0,0,0,20.5405,21,73,158
Jeff Peterek,R,74,195,0,0,0,25.0338,25,73,190
George Scott,R,74,200,0.268,271,271.268,25.6757,26,73,198
Jeff Shaver,R,75,195,0,0,0,24.3707,24,73,190
Ken Walters,R,73,180,0.231,11,11.231,23.7455,24,71,174
Gorman Thomas,R,74,210,0.225,268,268.225,26.9595,27,73,205
Paul Dade,R,73,185,0.27,10,10.27,24.4051,24,71,182
Darrell Porter,L,72,193,0.247,188,188.247,26.1726,26,71,190
Tim Johnson,L,73,170,0.223,0,0.223,22.4263,22,71,166
Fred Stanley,R,70,165,0.216,10,10.216,23.6724,24,69,158
Larry Bowa,B,70,155,0.26,15,15.26,22.2378,22,69,150
Tim Corcoran,L,71,175,0.27,12,12.27,24.4049,24,69,174
Jim Spencer,L,74,195,0.25,146,146.25,25.0338,25,73,190
Pete LaCock,L,74,200,0.257,27,27.257,25.6757,26,73,198
Carl Morton,R,72,200,0.156,7,7.156,27.1219,27,71,198
Gary Gray,R,72,187,0.24,24,24.24,25.359,25,71,182
Matty Alou,L,69,160,0.307,31,31.307,23.6253,24,67,158
Pete Filson,B,74,195,0,0,0,25.0338,25,73,190
Jim Dwyer,L,70,165,0.26,77,77.26,23.6724,24,69,158
Dalton Jones,L,73,180,0.235,41,41.235,23.7455,24,71,174
Rennie Stennett,R,71,160,0.274,41,41.274,22.313,22,69,158
Jim Gideon,R,75,190,0,0,0,23.7458,24,73,190
Jerry May,R,74,190,0.234,15,15.234,24.3919,24,73,190
Rich McKinney,R,71,185,0.225,20,20.225,25.7994,26,69,182
Clint Hurdle,L,75,195,0.259,32,32.259,24.3707,24,73,190
Mike Andrews,R,75,195,0.258,66,66.258,24.3707,24,73,190
Bobby Clark,R,72,190,0.239,19,19.239,25.7658,26,71,190
Jeff Twitty,L,74,185,0,0,0,23.75,24,73,182
Cliff Johnson,R,76,215,0.258,196,196.258,26.1678,26,75,213
Steve Cummings,B,74,200,0,0,0,25.6757,26,73,198
Donn Clendenon,R,76,209,0.274,159,159.274,25.4375,25,75,205
Charlie James,R,73,195,0.255,29,29.255,25.7243,26,71,190
Bob Horner,R,73,195,0.277,218,218.277,25.7243,26,71,190
Tom Veryzer,R,73,175,0.241,14,14.241,23.0859,23,71,174
Jose Cecena,R,71,180,0,0,0,25.1022,25,69,174
George Smith,R,70,170,0.205,9,9.205,24.3898,24,69,166
Jim Essian,R,74,195,0.244,33,33.244,25.0338,25,73,190
Onix Concepcion,R,66,160,0.239,3,3.239,25.8219,26,65,158
Boots Day,L,69,160,0.256,8,8.256,23.6253,24,67,158
Brian Giles,R,73,165,0.228,10,10.228,21.7667,22,71,158
Garry Maddox,R,75,175,0.285,117,117.285,21.8711,22,73,174
Alex Trevino,R,70,165,0.249,23,23.249,23.6724,24,69,158
Jim Price,R,72,192,0.214,18,18.214,26.037,26,71,190
Felix Millan,R,71,172,0.279,22,22.279,23.9865,24,69,166
Steve Garvey,R,70,192,0.294,272,272.294,27.5461,28,69,190
Don Mincher,L,75,205,0.249,200,200.249,25.6204,26,73,198
Greg Erardi,R,73,190,0,0,0,25.0647,25,71,190
Jim Farr,R,73,195,0,0,0,25.7243,26,71,190
Tony Cloninger,R,72,210,0.192,11,11.192,28.478,28,71,205
Jim Gosger,L,71,185,0.226,30,30.226,25.7994,26,69,182
Chuck Harrison,R,70,185,0.238,17,17.238,26.5418,27,69,182
Mike Ivie,R,75,205,0.269,81,81.269,25.6204,26,73,198
Frank Dimichele,R,75,205,0,0,0,25.6204,26,73,198
Bob Veale,B,78,212,0.114,0,0.114,24.4964,24,77,205
Marvell Wynne,L,71,175,0.247,40,40.247,24.4049,24,69,174
Dusty Baker,R,74,183,0.278,242,242.278,23.4932,23,73,182
Tucker Ashford,R,73,195,0.218,6,6.218,25.7243,26,71,190
Ned Yost,R,73,190,0.212,16,16.212,25.0647,25,71,190
Bob Stinson,B,71,180,0.25,33,33.25,25.1022,25,69,174
Mike Warren,R,73,175,0,0,0,23.0859,23,71,174
Gaylord Perry,R,76,205,0.131,6,6.131,24.9507,25,75,198
Dave Marshall,L,73,182,0.246,16,16.246,24.0094,24,71,182
Mickey Hatcher,R,74,200,0.28,38,38.28,25.6757,26,73,198
Roger Repoz,L,75,190,0.224,82,82.224,23.7458,24,73,190
Bill Fulton,R,75,195,0,0,0,24.3707,24,73,190
John Orsino,R,75,215,0.249,40,40.249,26.8702,27,73,213
Larry Anderson,R,75,190,0,0,0,23.7458,24,73,190
Johnny Briggs,L,73,190,0.253,139,139.253,25.0647,25,71,190
Craig Mitchell,R,75,180,0,0,0,22.496,22,73,174
Dave Hostetler,R,76,215,0.229,37,37.229,26.1678,26,75,213
Bob Jones,L,74,195,0.221,20,20.221,25.0338,25,73,190
Keith Hernandez,L,72,180,0.296,162,162.296,24.4097,24,71,174
Alfredo Martinez,R,75,185,0,0,0,23.1209,23,73,182
Dean Chance,R,75,200,0.066,0,0.066,24.9956,25,73,198
Willie Upshaw,L,72,185,0.262,123,123.262,25.0878,25,71,182
Dick Green,R,70,180,0.24,80,80.24,25.8245,26,69,174
Dane Iorg,L,72,180,0.276,14,14.276,24.4097,24,71,174
Richie Hebner,L,73,195,0.276,203,203.276,25.7243,26,71,190
Fran Healy,R,77,220,0.25,20,20.25,26.0853,26,75,213
Doc Edwards,R,74,215,0.238,15,15.238,27.6014,28,73,213
Sandy Alomar,B,69,140,0.245,13,13.245,20.6721,21,67,134
Joe Strain,R,70,169,0.25,1,1.25,24.2463,24,69,166
Gene Richards,L,72,175,0.29,26,26.29,23.7317,24,71,174
Buddy Bell,R,73,180,0.279,201,201.279,23.7455,24,71,174
Al Woods,L,75,190,0.271,35,35.271,23.7458,24,73,190
Rudy Law,L,73,165,0.271,18,18.271,21.7667,22,71,158
Joel Davis,L,77,205,0,0,0,24.3068,24,75,198
Jody Davis,R,76,192,0.245,127,127.245,23.3684,23,75,190
Mike Edwards,R,70,154,0.25,2,2.25,22.0943,22,69,150
Bill Mooneyham,R,72,175,0,0,0,23.7317,24,71,174
John Hobbs,R,75,190,0,0,0,23.7458,24,73,190
Deron Johnson,R,74,200,0.244,245,245.244,25.6757,26,73,198
John Denny,R,75,185,0.17,0,0.17,23.1209,23,73,182
Don Wert,R,70,162,0.242,77,77.242,23.242,23,69,158
Mike Fiore,L,72,175,0.227,13,13.227,23.7317,24,71,174
Miguel Dilone,B,72,160,0.265,6,6.265,21.6975,22,71,158
Greg Luzinski,R,73,220,0.276,307,307.276,29.0223,29,71,213
Bobby Tolan,L,71,170,0.265,86,86.265,23.7076,24,69,166
Karl Best,R,76,190,0,0,0,23.125,23,75,190
Steve Barr,L,76,200,0,0,0,24.3421,24,75,198
Ron Woods,R,70,168,0.233,26,26.233,24.1029,24,69,166
Tony Horton,R,75,210,0.268,76,76.268,26.2453,26,73,205
Randy Hundley,R,71,170,0.236,82,82.236,23.7076,24,69,166
Jose Tartabull,L,71,165,0.261,2,2.261,23.0103,23,69,158
Ben Oglivie,L,74,160,0.273,235,235.273,20.5405,21,73,158
Luis Sanchez,R,74,170,0,0,0,21.8243,22,73,166
Bob Johnson,R,70,175,0.272,44,44.272,25.1071,25,69,174
Don Buford,B,67,160,0.264,93,93.264,25.0568,25,65,158
Duane Kuiper,L,72,175,0.271,1,1.271,23.7317,24,71,174
Brant Alyea,R,75,215,0.247,38,38.247,26.8702,27,73,213
Jerry Narron,L,75,205,0.211,21,21.211,25.6204,26,73,198
Lou Johnson,R,71,170,0.258,48,48.258,23.7076,24,69,166
Ken Retzer,L,72,185,0.264,14,14.264,25.0878,25,71,182
Mike Brown,R,74,195,0.265,23,23.265,25.0338,25,73,190
Mike Brown,R,74,195,0,0,0,25.0338,25,73,190
Greg Walker,L,75,205,0.26,113,113.26,25.6204,26,73,198
Terry Harper,R,76,195,0.253,36,36.253,23.7336,24,75,190
Jerry Royster,R,72,165,0.249,40,40.249,22.3756,22,71,158
Steve Davis,L,73,195,0,0,0,25.7243,26,71,190
Jeff Rineer,L,76,205,0,0,0,24.9507,25,75,198
Barry Bonnell,R,75,190,0.272,56,56.272,23.7458,24,73,190
Tom Seaver,R,73,195,0.154,12,12.154,25.7243,26,71,190
Jerry Martin,R,73,195,0.251,85,85.251,25.7243,26,71,190
Bill Stein,R,70,170,0.267,44,44.267,24.3898,24,69,166
Joel Youngblood,R,72,180,0.265,80,80.265,24.4097,24,71,174
Reggie Jackson,L,72,195,0.262,563,563.262,26.4439,26,71,190
Sonny Jackson,L,69,150,0.251,7,7.251,22.1487,22,67,142
Mark Mercer,L,77,220,0,0,0,26.0853,26,75,213
Rodney Scott,B,72,160,0.236,3,3.236,21.6975,22,71,158
Rich Coggins,L,68,170,0.265,12,12.265,25.8456,26,67,166
Phil Gagliano,R,73,180,0.238,14,14.238,23.7455,24,71,174
Jerry McNertney,R,72,180,0.237,27,27.237,24.4097,24,71,174
